Date,Open,High,Low,Close,Volume,Adj Close,,
23/01/2015,84.28,84.83,83.8,84.39,4983800,84.39,,
22/01/2015,83.36,84.53,82.5,84.38,4796200,84.38,,
21/01/2015,83.78,84.35,83.3,83.72,3598400,83.72,,
20/01/2015,84.39,84.89,83.19,84.26,3540600,84.26,,
16/01/2015,82.05,83.86,81.83,83.8,4763700,83.8,,
15/01/2015,83.8,84.13,82.18,82.25,4324700,82.25,,
14/01/2015,82,83.48,81.84,83.46,5084300,83.46,,
13/01/2015,84.09,85.24,82.74,83.55,4222100,83.55,,
12/01/2015,84.41,84.85,82.91,83.36,4030100,83.36,,
09/01/2015,85.97,86,84.4,84.44,4580900,84.44,,
08/01/2015,85.19,85.62,85.03,85.53,5174200,85.53,,
07/01/2015,84.1,84.28,83.07,84.22,5846800,84.22,,
06/01/2015,83.66,83.78,81.8,83.09,7690000,82.93,,
05/01/2015,85.29,85.35,83.05,83.27,6441400,83.11,,
02/01/2015,86.68,87.36,84.92,85.68,4505800,85.52,,
31/12/2014,87.18,87.54,86.16,86.16,2861700,85.99,,
30/12/2014,87.35,87.75,86.51,86.97,2493300,86.8,,
29/12/2014,87.64,88.49,87.5,87.68,2376100,87.51,,
26/12/2014,87.9,88.07,87.52,87.77,1508400,87.6,,
24/12/2014,87.7,88.3,87.53,87.77,1219500,87.6,,
23/12/2014,87.46,87.85,86.75,87.63,2749700,87.46,,
22/12/2014,86.75,86.97,86.21,86.83,2561600,86.66,,
19/12/2014,86.98,87.29,86.14,86.44,6262000,86.27,,
18/12/2014,86.12,86.92,85.4,86.92,6442100,86.75,,
17/12/2014,82.79,84.87,82.4,84.73,6443700,84.57,,
16/12/2014,83.72,84.97,82.05,82.64,6970300,82.48,,
15/12/2014,85.14,85.29,83.54,84.61,4921600,84.45,,
12/12/2014,86.57,87.32,84.11,84.13,6644500,83.97,,
11/12/2014,86.76,88.18,86.75,87.69,4078500,87.52,,
10/12/2014,87.53,88.03,86.21,86.33,3277400,86.16,,
09/12/2014,86.57,88.05,86.4,87.84,3732400,87.67,,
08/12/2014,89.04,89.56,87.88,88.04,4473300,87.87,,
