Date,Open,High,Low,Close,Volume,Adj Close
2015-01-23,170.48,171.53,168.66,168.77,955500,168.77
2015-01-22,170.23,172.09,169.29,170.83,1207500,170.83
2015-01-21,167.56,171.00,167.25,169.52,744300,169.52
2015-01-20,170.85,170.95,167.82,168.22,1083000,168.22
2015-01-16,169.57,170.32,167.54,170.05,1249700,170.05
2015-01-15,172.30,172.83,169.41,169.46,532100,169.46
2015-01-14,171.80,173.45,169.72,172.30,774500,172.30
2015-01-13,175.88,177.53,172.20,173.64,922300,173.64
2015-01-12,174.65,176.00,173.23,174.42,999700,174.42
2015-01-09,177.17,177.41,174.28,175.99,744900,175.99
2015-01-08,177.70,179.57,177.09,178.57,790700,178.57
2015-01-07,175.67,178.90,175.50,178.78,620400,178.78
2015-01-06,178.04,178.49,173.25,174.41,1486500,174.41
2015-01-05,179.78,180.50,176.82,177.88,1761800,177.88
2015-01-02,185.98,186.67,181.41,183.10,503400,183.10
2014-12-31,186.41,187.49,185.12,185.16,461100,185.16
2014-12-30,186.68,187.46,185.22,186.23,382400,186.23
2014-12-29,184.50,187.25,184.26,186.73,532000,186.73
2014-12-26,184.84,185.92,184.48,185.12,400100,185.12
2014-12-24,184.15,184.87,183.90,184.35,342900,184.35
2014-12-23,180.23,184.28,180.23,183.65,725200,183.65
2014-12-22,179.15,180.44,178.89,180.23,653600,179.78
2014-12-19,180.79,181.80,176.93,178.82,899800,178.37
2014-12-18,181.00,181.82,179.21,180.59,827800,180.14
2014-12-17,176.82,179.62,175.20,179.20,804900,178.75
2014-12-16,179.79,179.85,176.50,176.60,785300,176.16
2014-12-15,182.25,182.73,178.89,180.03,900900,179.58
2014-12-12,180.92,183.75,179.90,181.64,811500,181.19
2014-12-11,180.11,183.35,179.64,180.92,600500,180.47
2014-12-10,182.07,182.83,179.35,180.10,596000,179.65
2014-12-09,180.97,183.23,180.56,182.44,542700,181.98
2014-12-08,183.18,184.45,182.12,183.08,723700,182.62
2014-12-05,182.79,183.59,181.57,183.30,553600,182.84
2014-12-04,182.42,184.66,182.24,183.16,907900,182.70
2014-12-03,180.55,183.40,180.05,183.28,633600,182.82
2014-12-02,181.77,182.78,180.22,180.58,630800,180.13
2014-12-01,183.83,184.26,180.65,181.28,1002800,180.83
2014-11-28,182.59,185.14,182.52,184.90,511000,184.44
2014-11-26,182.62,183.28,181.57,182.07,501600,181.62
2014-11-25,181.32,183.48,181.15,182.64,857600,182.18
2014-11-24,180.52,181.80,178.81,181.32,605100,180.87
2014-11-21,181.41,182.50,179.43,180.05,945000,179.60
2014-11-20,178.74,182.02,178.11,179.78,1038600,179.33
2014-11-19,176.00,179.78,175.61,179.66,948800,179.21
2014-11-18,175.58,176.72,174.64,176.56,723600,176.12
2014-11-17,173.79,176.41,173.12,176.05,805100,175.61
2014-11-14,173.42,174.73,172.47,174.24,727400,173.80
2014-11-13,172.83,174.15,171.51,173.17,746800,172.74
2014-11-12,170.94,173.42,169.90,172.93,839400,172.50
2014-11-11,171.08,172.46,170.40,171.07,657700,170.64
2014-11-10,174.37,175.45,171.58,171.92,762000,171.49
2014-11-07,170.92,174.90,170.78,174.00,1387400,173.57
2014-11-06,165.47,171.60,165.31,171.39,872800,170.96
2014-11-05,164.61,165.69,164.00,164.78,536200,164.37
2014-11-04,165.48,165.50,162.31,164.15,718200,163.74
2014-11-03,164.75,166.56,164.32,165.68,684900,165.27
2014-10-31,167.10,167.95,164.28,164.84,908500,164.43
2014-10-30,161.55,166.59,160.97,166.11,952200,165.70
2014-10-29,157.67,167.00,157.52,161.79,2436800,161.39
2014-10-28,161.06,161.47,158.96,160.92,1167700,160.52
2014-10-27,160.25,161.54,158.48,161.35,1071000,160.95
2014-10-24,161.03,161.03,159.48,160.25,1148900,159.85
2014-10-23,161.38,163.35,160.86,161.18,727800,160.78
2014-10-22,161.21,162.99,160.56,160.57,476800,160.17
2014-10-21,157.68,161.22,157.67,161.16,602900,160.76
2014-10-20,155.31,157.47,154.03,157.20,912400,156.81
2014-10-17,158.93,159.51,155.56,156.25,1174900,155.86
2014-10-16,154.51,159.51,153.50,157.67,793500,157.28
2014-10-15,155.54,157.39,153.39,156.72,1047600,156.33
2014-10-14,158.95,159.27,156.85,157.73,853200,157.34
2014-10-13,160.16,160.20,157.22,157.53,768000,157.14
2014-10-10,163.39,164.29,160.43,160.43,799300,160.03
2014-10-09,165.22,166.12,162.85,163.04,1044000,162.63
2014-10-08,163.51,166.30,162.78,166.11,886400,165.70
2014-10-07,163.48,164.82,162.93,163.12,914800,162.71
2014-10-06,166.76,167.52,163.98,164.39,804400,163.98
2014-10-03,167.51,168.44,166.22,166.40,772100,165.98
2014-10-02,163.27,167.34,162.86,167.12,1126200,166.70
2014-10-01,164.80,164.80,161.84,163.36,975300,162.95
2014-09-30,164.89,165.70,163.76,164.73,694800,164.32
