date,Amazon,Apple,Colgate,Costco,IBM,MasterCard,RalphLauren,Wynn
23/01/2015,312.39,112.98,67.14,142.05,155.87,84.39,168.77,146.01
22/01/2015,310.32,112.4,69.32,141.27,155.39,84.38,170.83,147.23
21/01/2015,297.25,109.55,68.35,139.14,152.09,83.72,169.52,142.89
20/01/2015,289.44,108.72,68.96,139.38,156.95,84.26,168.22,142.03
16/01/2015,290.74,105.99,69.17,139.72,157.14,83.8,170.05,146.99
15/01/2015,286.95,106.82,68.32,139.31,154.57,82.25,169.46,147.65
14/01/2015,293.27,109.8,68.45,139.31,155.8,83.46,172.3,148.6
13/01/2015,294.74,110.22,68.73,141.09,156.81,83.55,173.64,149.81
12/01/2015,291.41,109.25,68.26,142.52,156.44,83.36,174.42,148.46
09/01/2015,296.93,112.01,68.6,143.32,159.11,84.44,175.99,149.05
08/01/2015,300.46,111.89,69.28,145.56,158.42,85.53,178.57,147.21
07/01/2015,298.42,107.75,68.35,144.32,155.05,84.22,178.78,145.46
06/01/2015,295.29,106.26,67.81,141.85,156.07,83.09,174.41,141.31
05/01/2015,302.19,106.25,68.53,140,159.51,83.27,177.88,144.39
02/01/2015,308.52,109.33,69.04,141.61,162.06,85.68,183.1,146.89
31/12/2014,310.35,110.38,69.19,141.75,160.44,86.16,185.16,148.76
30/12/2014,310.3,112.52,70.04,143.49,160.05,86.97,186.23,151.2
29/12/2014,312.04,113.91,70.48,143.34,160.51,87.68,186.73,153
26/12/2014,309.09,113.99,70.88,143.44,162.34,87.77,185.12,150.37
24/12/2014,303.03,112.01,70.47,143.65,161.82,87.77,184.35,150.9
23/12/2014,306.29,112.54,71,144.15,162.24,87.63,183.65,151.69
22/12/2014,306.54,112.94,70.26,143.21,161.44,86.83,180.23,147.48
19/12/2014,299.9,111.78,69.98,141.77,158.51,86.44,178.82,150.11
18/12/2014,297.73,112.65,69.48,141.56,157.68,86.92,180.59,145.1
17/12/2014,298.88,109.41,68.66,139.33,151.93,84.73,179.2,138.97
16/12/2014,295.06,106.75,67.51,137.31,151.41,82.64,176.6,140.52
15/12/2014,306.07,108.23,67.95,138.19,153.06,84.61,180.03,145.16
12/12/2014,307.32,109.73,68.57,137.88,155.38,84.13,181.64,147.48
11/12/2014,307.36,111.62,69.28,141.41,161.07,87.69,180.92,148.88
10/12/2014,305.84,111.95,68.87,140.25,160.51,86.33,180.1,146.75
09/12/2014,312.5,114.12,69.33,143.04,162.99,87.84,182.44,156.63
08/12/2014,306.64,112.4,69.44,142.33,161.86,88.04,183.08,157.59
05/12/2014,312.63,115,69.37,143.25,163.27,89.08,183.3,163.9
04/12/2014,316.93,115.49,69.45,143.02,164.05,88.77,183.16,162.92
03/12/2014,316.5,115.93,69.06,142.69,164.52,88.32,183.28,169.57
02/12/2014,326.31,114.63,69.86,143.06,162.67,87.69,180.58,174.25
01/12/2014,326,115.07,69.4,141.98,161.54,87.46,181.28,174.5
28/11/2014,338.64,118.93,69.59,142.12,162.17,87.29,184.9,178.61
26/11/2014,333.57,119,68.69,139.75,161.95,86.56,182.07,177.06
25/11/2014,335.04,117.6,68.33,138.87,161.76,86.34,182.64,178.01
24/11/2014,335.64,118.63,67.95,139.8,162.15,84.99,181.32,180.22
21/11/2014,332.63,116.47,68.34,139.72,160.92,84.72,180.05,179.64
20/11/2014,330.54,116.31,68.06,139.25,160.64,84.6,179.78,177.85
19/11/2014,326.54,114.67,68.29,140.01,161.43,84.28,179.66,180.02
18/11/2014,324.93,115.47,67.97,139.21,161.89,83.9,176.56,182.08
17/11/2014,323.05,113.99,67.92,138.47,164.16,83.2,176.05,182.63
14/11/2014,327.82,114.18,67.56,138.48,164.16,84.05,174.24,183.99
13/11/2014,316.48,112.82,68.29,138.71,162.79,84.2,173.17,182.63
12/11/2014,311.51,111.25,68.7,136.9,161.92,84.35,172.93,180.29
11/11/2014,312.01,109.7,68.47,137.05,163.3,84.59,171.07,180.35
10/11/2014,305.11,108.83,68.55,137.69,163.49,84.85,171.92,177.89
07/11/2014,299.86,109.01,68.05,137.71,162.07,84.8,174,177.18
06/11/2014,296.64,108.7,68.11,137.09,161.46,85.75,171.39,178.71
05/11/2014,296.52,108.86,68.15,136.5,161.82,85.99,164.78,179.74
04/11/2014,302.81,108.6,68.05,136.55,162.65,83.99,164.15,185.26
03/11/2014,305.72,109.4,67.41,134.27,164.36,84.13,165.68,189.51
31/10/2014,305.46,108,66.88,133.37,164.4,83.75,164.84,190.01
30/10/2014,299.07,106.98,66.41,133,164.35,83.13,166.11,187.65
29/10/2014,294.12,107.34,65.85,131.93,163.46,75.99,161.79,185.93
28/10/2014,295.59,106.74,65.79,131.06,163.6,76,160.92,185.25
27/10/2014,289.97,105.11,66.11,130.92,161.87,74.11,161.35,183.67
24/10/2014,287.06,105.22,65.35,130.44,162.08,74,160.25,184.72
23/10/2014,313.18,104.83,65.05,130.59,162.18,74.09,161.18,183.49
22/10/2014,312.97,102.99,65.32,130.54,161.79,73.22,160.57,182.42
21/10/2014,315.33,102.47,65.42,130.28,163.23,74.16,161.16,184.59
20/10/2014,306.21,99.76,64.54,128.42,169.1,72.04,157.2,181.66
17/10/2014,303.64,97.67,63.73,124.65,182.05,71.56,156.25,182.45
16/10/2014,302.86,96.26,63.11,122.95,179.84,70.86,157.67,182.07
15/10/2014,305.97,97.54,63.53,124.3,181.75,71.3,156.72,174.31
14/10/2014,308.31,98.75,64.41,126.25,183.8,71,157.73,173.84
13/10/2014,306.45,99.81,64.19,126.97,183.52,69.78,157.53,173.44
10/10/2014,311.39,100.73,65.29,128.9,185.93,70.5,160.43,176.71
09/10/2014,315.37,101.02,65.2,128.41,186.42,71.83,163.04,178.07
08/10/2014,322.7,100.8,65.82,128.73,189.36,74.06,166.11,183.29
07/10/2014,316.98,98.75,64.9,125.27,185.71,72.94,163.12,180.28
06/10/2014,322.2,99.62,65.27,126.21,189.04,74.51,164.39,183.79
03/10/2014,322.74,99.62,65.46,127.09,188.67,74.33,166.4,182.28
02/10/2014,318.41,99.9,64.78,125.79,186.91,73.42,167.12,181.76
01/10/2014,317.46,99.18,64.89,124.76,187.17,73.32,163.36,182.3
30/09/2014,322.44,100.75,65.22,125.32,189.83,73.92,164.73,187.08
29/09/2014,321.82,100.11,65.63,125.32,189.64,74.52,165.03,178.99
26/09/2014,323.21,100.75,65.7,125.54,190.06,75.06,165.64,184.5
25/09/2014,321.93,97.87,65.48,125.66,189.01,74.72,164.92,181.96
24/09/2014,328.21,101.75,66.23,127.62,192.31,77.05,167.6,185.95
23/09/2014,323.63,102.64,65.4,125.51,191.62,75.51,170.01,182.83
22/09/2014,324.5,101.06,65.69,125.83,193.11,76.16,169.84,181.28
19/09/2014,331.32,100.96,65.28,126.5,194,77.28,171.98,185.28
18/09/2014,325,101.79,65.31,126.48,193.75,77.8,172.84,187.83
17/09/2014,324,101.58,65.24,126.01,192.8,76.22,172.78,183.1
16/09/2014,327.76,100.86,65.14,126.43,192.96,76.59,172.6,179.87
15/09/2014,323.89,101.63,64.51,125.71,191.81,75.24,170.99,180.72
12/09/2014,331.19,101.66,64.48,125.37,191.28,75.47,173.79,182.53
11/09/2014,330.52,101.43,64.42,125.94,191.72,75.62,173.27,186.1
10/09/2014,331.33,101,64,126.17,191.54,76.65,174.7,182.28
09/09/2014,329.75,97.99,63.43,126.11,189.99,76.07,173.52,184.26
08/09/2014,342.34,98.36,63.64,126.6,190.14,76.23,172.5,184.71
05/09/2014,346.38,98.97,64.86,127.01,191.2,76.86,172.9,185.66
04/09/2014,345.95,98.12,64.31,125.15,190.68,76.38,172.46,184.77
